key|note_word|pos_tag|occurrences|exclude_filters|include_filters
uniq10|Valdez|NNP|1|['filters/blacklists/firstnames_minus_fps.json', 'filters/blacklists/lastnames_minus_fps.json', 'filters/regex_context/names_regex_context1.txt']|[]
uniq11|Harlan|NNP|1|['filters/blacklists/firstnames_minus_fps.json', 'filters/blacklists/lastnames_minus_fps.json']|[]
uniq12|Jr|NNP|1|['filters/blacklists/firstnames_minus_fps.json', 'filters/regex_context/names_regex_context3.txt']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq13|845|CD|2|['filters/regex/mrn_id/DDD-DD-DD.txt', 'filters/regex/mrn_id/DD-DD-DD-DD.txt']|['POS MATCHER']
uniq14|41|CD|6|['filters/regex/mrn_id/DDD-DD-DD.txt', 'filters/regex/mrn_id/DD-DD-DD-DD.txt']|['POS MATCHER']
uniq15|54|CD|2|['filters/regex/mrn_id/DDD-DD-DD.txt', 'filters/regex/mrn_id/DD-DD-DD-DD.txt']|['POS MATCHER']
uniq16|4|CD|4|['filters/regex/mrn_id/DDD-DD-DD.txt', 'filters/regex/mrn_id/DD-DD-DD-DD.txt']|['POS MATCHER']
uniq17|February|NNP|3|['filters/regex/dates/month_name_dd_yyyy_transformed.txt', 'filters/regex/dates/month_name_dd_transformed.txt', 'filters/regex/dates/month_name_transformed.txt', 'filters/regex/dates/month_name_of_yy_transformed.txt', 'filters/regex/dates/month_name_yy_transformed.txt', 'filters/regex/dates/month_name_transformed.txt']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq18|12|CD|3|['filters/regex/dates/month_name_dd_yyyy_transformed.txt', 'filters/regex/dates/month_name_dd_transformed.txt', 'filters/regex/dates/month_name_of_yy_transformed.txt', 'filters/regex/dates/month_name_yy_transformed.txt']|['POS MATCHER']
uniq19|2106|CD|1|['filters/regex/dates/month_name_dd_yyyy_transformed.txt']|['POS MATCHER']
uniq20|Harlan|NNP|3|['filters/regex/salutations/pre_salutations_3chars.txt', 'filters/blacklists/firstnames_minus_fps.json', 'filters/blacklists/lastnames_minus_fps.json']|[]
uniq21|Oneil|NNP|1|['filters/regex/salutations/pre_salutations_3chars.txt', 'filters/blacklists/firstnames_minus_fps.json', 'filters/blacklists/lastnames_minus_fps.json', 'filters/regex_context/names_regex_context3.txt']|[]
uniq22|City|NNP|1|['filters/regex/addresses/hospital2.txt', 'filters/regex/organizations/admitted_to_hospital_7chars.txt', 'filters/blacklists/lastnames_minus_fps.json']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq23|Amaryl|NNP|2|[]|[]
uniq24|Harold|NNP|1|['filters/regex/salutations/pre_salutations_3chars.txt', 'filters/blacklists/firstnames_minus_fps.json', 'filters/blacklists/lastnames_minus_fps.json']|[]
uniq25|Nutter|NNP|2|['filters/regex/salutations/pre_salutations_3chars.txt', 'filters/blacklists/lastnames_minus_fps.json']|[]
uniq26|Columbia|NNP|1|['filters/regex/addresses/in_city_transformed.txt', 'filters/blacklists/firstnames_minus_fps.json', 'filters/blacklists/lastnames_minus_fps.json']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq27|Pictures|NNP|1|['filters/regex/addresses/in_city_transformed.txt']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq28|Boxborough|NNP|2|[]|[]
uniq29|Habib|NNP|1|['filters/regex/salutations/post_salutations_3chars.txt', 'filters/regex/salutations/post_salutations_4chars.txt', 'filters/regex/salutations/dash_doctor.txt', 'filters/blacklists/firstnames_minus_fps.json', 'filters/blacklists/lastnames_minus_fps.json']|[]
uniq30|Valenzuela|NNP|1|['filters/regex/salutations/post_salutations_3chars.txt', 'filters/regex/salutations/post_salutations_4chars.txt', 'filters/regex/salutations/dash_doctor.txt', 'filters/blacklists/lastnames_minus_fps.json', 'filters/regex_context/names_regex_context3.txt']|[]
uniq31|HV|NNP|1|['filters/regex_context/initials.txt']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq32|kuntz|NNP|1|['filters/blacklists/lastnames_minus_fps.json']|[]
uniq33|Mmedical|NNP|1|[]|[]
uniq34|Harlan|NNP|1|['filters/regex/salutations/post_salutations_3chars.txt', 'filters/regex/salutations/post_salutations_4chars.txt', 'filters/blacklists/firstnames_minus_fps.json', 'filters/blacklists/lastnames_minus_fps.json']|[]
uniq35|Oneil|NNP|1|['filters/regex/salutations/post_salutations_3chars.txt', 'filters/regex/salutations/post_salutations_4chars.txt', 'filters/blacklists/firstnames_minus_fps.json', 'filters/blacklists/lastnames_minus_fps.json']|[]
uniq36|Harold|NNP|1|['filters/regex/salutations/post_salutations_3chars.txt', 'filters/regex/salutations/post_salutations_4chars.txt', 'filters/blacklists/firstnames_minus_fps.json', 'filters/blacklists/lastnames_minus_fps.json']|[]
uniq37|Nutter|NNP|1|['filters/regex/salutations/post_salutations_3chars.txt', 'filters/regex/salutations/post_salutations_4chars.txt', 'filters/blacklists/lastnames_minus_fps.json']|[]
uniq38|North|NNP|2|['filters/regex/addresses/hospital2.txt', 'filters/blacklists/firstnames_minus_fps.json', 'filters/blacklists/lastnames_minus_fps.json']|[]
uniq39|64|CD|1|['filters/regex/addresses/num_streetname_extension_transformed.txt', 'filters/regex/addresses/num_streetname_transformed.txt']|['POS MATCHER']
uniq40|Bruce|NNP|1|['filters/regex/addresses/num_streetname_extension_transformed.txt', 'filters/regex/addresses/num_streetname_transformed.txt', 'filters/blacklists/firstnames_minus_fps.json', 'filters/blacklists/lastnames_minus_fps.json']|[]
uniq41|St|NNP|1|['filters/regex/addresses/num_streetname_extension_transformed.txt', 'filters/regex/addresses/num_streetname_transformed.txt']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq42|Omak|NNP|2|['filters/regex/addresses/city_state_zip_transformed.txt', 'filters/regex/addresses/city_state_transformed.txt']|[]
uniq43|GA|NNP|1|['filters/regex/addresses/city_state_zip_transformed.txt', 'filters/regex/addresses/city_zip_transformed.txt', 'filters/regex/addresses/city_state_transformed.txt', 'filters/regex_context/initials.txt']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq44|72196|CD|2|['filters/regex/addresses/city_state_zip_transformed.txt', 'filters/regex/addresses/city_zip_transformed.txt', 'filters/regex/mrn_id/DDDDDD+.txt', 'filters/regex/contact/pager.txt']|['POS MATCHER']
uniq45|02|CD|3|['filters/regex/dates/dd_mm_yy_transformed.txt', 'filters/regex/dates/yy_mm_dd_transformed.txt', 'filters/regex/dates/mm_dd_yy_transformed.txt', 'filters/regex/dates/dd_mm_transformed.txt', 'filters/regex/dates/mm_dd_transformed.txt', 'filters/regex/dates/mm_yy_transformed.txt']|['POS MATCHER']
uniq46|12|CD|18|['filters/regex/dates/dd_mm_yy_transformed.txt', 'filters/regex/dates/yy_mm_dd_transformed.txt', 'filters/regex/dates/mm_dd_yy_transformed.txt', 'filters/regex/dates/dd_mm_transformed.txt', 'filters/regex/dates/mm_dd_transformed.txt', 'filters/regex/dates/mm_yy_transformed.txt']|['POS MATCHER']
uniq47|06|CD|2|['filters/regex/dates/dd_mm_yy_transformed.txt', 'filters/regex/dates/yy_mm_dd_transformed.txt', 'filters/regex/dates/mm_dd_yy_transformed.txt']|['POS MATCHER']
uniq48|02|CD|14|['filters/regex/dates/mm_dd_yy_transformed.txt', 'filters/regex/dates/mm_dd_transformed.txt', 'filters/regex/dates/mm_yy_transformed.txt']|['POS MATCHER']
uniq49|17|CD|8|['filters/regex/dates/mm_dd_yy_transformed.txt', 'filters/regex/dates/mm_dd_transformed.txt', 'filters/regex/dates/mm_yy_transformed.txt']|['POS MATCHER']
uniq50|06|CD|2|['filters/regex/dates/mm_dd_yy_transformed.txt']|['POS MATCHER']
uniq51|CAMPBELL|NNP|1|['filters/regex/addresses/hospital2.txt', 'filters/blacklists/firstnames_minus_fps.json', 'filters/blacklists/lastnames_minus_fps.json']|[]
uniq52|VALDEZ|NNP|1|['filters/blacklists/firstnames_minus_fps.json', 'filters/blacklists/lastnames_minus_fps.json']|[]
uniq53|HARLAN|NNP|1|['filters/blacklists/firstnames_minus_fps.json', 'filters/blacklists/lastnames_minus_fps.json']|[]
uniq54|JR|NNP|1|['filters/blacklists/firstnames_minus_fps.json']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq55|03|CD|13|['filters/regex/dates/mm_dd_yy_transformed.txt', 'filters/regex/dates/mm_dd_transformed.txt', 'filters/regex/dates/mm_yy_transformed.txt']|['POS MATCHER']
uniq56|14|CD|4|['filters/regex/dates/mm_dd_yy_transformed.txt', 'filters/regex/dates/mm_dd_transformed.txt', 'filters/regex/dates/mm_yy_transformed.txt']|['POS MATCHER']
uniq57|08|CD|3|['filters/regex/dates/mm_dd_yy_transformed.txt']|['POS MATCHER']
uniq58|119|CD|1|['filters/regex/dates/mm_yy_transformed.txt']|['POS MATCHER']
uniq59|90|CD|3|['filters/regex/dates/mm_yy_transformed.txt']|['POS MATCHER']
uniq60|CAT|NNP|1|['filters/blacklists/lastnames_minus_fps.json']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq61|CK498|NNP|1|['filters/regex/dates/mm_yy_transformed.txt', 'filters/regex/mrn_id/CCDDD_DDD.txt', 'filters/regex/contact/pager.txt']|[]
uniq62|89095|CD|1|['filters/regex/dates/mm_yy_transformed.txt', 'filters/regex/mrn_id/DDDDDD+.txt', 'filters/regex/mrn_id/CCDDD_DDD.txt', 'filters/regex/contact/pager.txt']|['POS MATCHER']
uniq63|JAY|NNP|2|['filters/regex/salutations/post_salutations_3chars.txt', 'filters/regex/salutations/post_salutations_4chars.txt', 'filters/blacklists/firstnames_minus_fps.json', 'filters/blacklists/lastnames_minus_fps.json']|[]
uniq64|CARROLL|NNP|1|['filters/regex/salutations/post_salutations_3chars.txt', 'filters/regex/salutations/post_salutations_4chars.txt', 'filters/blacklists/firstnames_minus_fps.json', 'filters/blacklists/lastnames_minus_fps.json', 'filters/regex_context/names_regex_context3.txt']|[]
uniq65|JC72|NNP|2|['filters/regex/contact/pager.txt']|[]
uniq66|CARROLL|NNP|1|['filters/regex/salutations/post_salutations_3chars.txt', 'filters/regex/salutations/post_salutations_4chars.txt', 'filters/blacklists/firstnames_minus_fps.json', 'filters/blacklists/lastnames_minus_fps.json']|[]
uniq67|September|NNP|3|['filters/regex/dates/month_name_dd_yyyy_transformed.txt', 'filters/regex/dates/month_name_dd_transformed.txt', 'filters/regex/dates/month_name_transformed.txt', 'filters/regex/dates/month_name_of_yy_transformed.txt', 'filters/regex/dates/month_name_yy_transformed.txt', 'filters/regex/dates/month_name_transformed.txt', 'filters/blacklists/firstnames_minus_fps.json']|[]
uniq68|14|CD|1|['filters/regex/dates/month_name_dd_yyyy_transformed.txt', 'filters/regex/dates/month_name_dd_transformed.txt', 'filters/regex/dates/month_name_of_yy_transformed.txt', 'filters/regex/dates/month_name_yy_transformed.txt']|['POS MATCHER']
uniq69|2109|CD|1|['filters/regex/dates/month_name_dd_yyyy_transformed.txt']|['POS MATCHER']
uniq70|Vicente|NNP|1|['filters/regex/salutations/post_salutations_3chars.txt', 'filters/regex/salutations/post_salutations_4chars.txt', 'filters/blacklists/firstnames_minus_fps.json', 'filters/blacklists/lastnames_minus_fps.json']|[]
uniq71|Blair|NNP|1|['filters/regex/salutations/post_salutations_3chars.txt', 'filters/regex/salutations/post_salutations_4chars.txt', 'filters/blacklists/firstnames_minus_fps.json', 'filters/blacklists/lastnames_minus_fps.json', 'filters/regex_context/names_regex_context3.txt']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq72|North|NNP|1|['filters/regex/addresses/hospital2.txt', 'filters/regex/addresses/city_state_zip_transformed.txt', 'filters/regex/addresses/city_state_transformed.txt', 'filters/blacklists/firstnames_minus_fps.json', 'filters/blacklists/lastnames_minus_fps.json']|[]
uniq73|Georgia|NNP|1|['filters/regex/addresses/city_state_zip_transformed.txt', 'filters/regex/addresses/city_zip_transformed.txt', 'filters/regex/addresses/city_state_transformed.txt', 'filters/blacklists/firstnames_minus_fps.json', 'filters/blacklists/lastnames_minus_fps.json']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq74|VALDEZ|NNP|1|['filters/regex/salutations/patient_provider.txt', 'filters/regex/salutations/email_header.txt', 'filters/blacklists/firstnames_minus_fps.json', 'filters/blacklists/lastnames_minus_fps.json', 'filters/regex_context/names_regex_context1.txt']|[]
uniq75|Harlan|NNP|1|['filters/regex/salutations/patient_provider.txt', 'filters/regex/salutations/email_header.txt', 'filters/blacklists/firstnames_minus_fps.json', 'filters/blacklists/lastnames_minus_fps.json']|[]
uniq76|DHN|NNP|2|[]|[]
uniq77|7672624|CD|3|['filters/regex/mrn_id/DDDDDD+.txt']|['POS MATCHER']
uniq78|11|CD|9|['filters/regex/dates/dd_mm_yyyy_transformed.txt', 'filters/regex/dates/mm_dd_yyyy_transformed.txt', 'filters/regex/dates/dd_mm_yy_transformed.txt', 'filters/regex/dates/mm_dd_yy_transformed.txt', 'filters/regex/dates/dd_mm_transformed.txt', 'filters/regex/dates/mm_dd_transformed.txt', 'filters/regex/dates/mm_yy_transformed.txt']|['POS MATCHER']
uniq79|09|CD|7|['filters/regex/dates/dd_mm_yyyy_transformed.txt', 'filters/regex/dates/mm_dd_yyyy_transformed.txt', 'filters/regex/dates/dd_mm_yy_transformed.txt', 'filters/regex/dates/mm_dd_yy_transformed.txt', 'filters/regex/dates/dd_mm_transformed.txt', 'filters/regex/dates/mm_dd_transformed.txt', 'filters/regex/dates/mm_yy_transformed.txt']|['POS MATCHER']
uniq80|2062|CD|1|['filters/regex/dates/dd_mm_yyyy_transformed.txt', 'filters/regex/dates/mm_dd_yyyy_transformed.txt', 'filters/regex/dates/dd_mm_yy_transformed.txt', 'filters/regex/dates/mm_dd_yy_transformed.txt']|['POS MATCHER']
uniq81|09|CD|2|['filters/regex/dates/mm_dd_yyyy_transformed.txt', 'filters/regex/dates/mm_dd_yy_transformed.txt', 'filters/regex/dates/mm_dd_transformed.txt', 'filters/regex/dates/mm_yy_transformed.txt']|['POS MATCHER']
uniq82|14|CD|2|['filters/regex/dates/mm_dd_yyyy_transformed.txt', 'filters/regex/dates/mm_dd_yy_transformed.txt', 'filters/regex/dates/mm_dd_transformed.txt', 'filters/regex/dates/mm_yy_transformed.txt']|['POS MATCHER']
uniq83|2109|CD|3|['filters/regex/dates/mm_dd_yyyy_transformed.txt', 'filters/regex/dates/mm_dd_yy_transformed.txt']|['POS MATCHER']
uniq84|Vicente|NNP|1|['filters/regex/salutations/pre_salutations_4chars.txt', 'filters/blacklists/firstnames_minus_fps.json', 'filters/blacklists/lastnames_minus_fps.json']|[]
uniq85|B|NNP|1|['filters/regex/salutations/pre_salutations_3chars.txt', 'filters/regex_context/names_regex_context2.txt', 'filters/regex_context/initials.txt']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq86|Valdez|NNP|1|['filters/regex/salutations/pre_salutations_3chars.txt', 'filters/blacklists/firstnames_minus_fps.json', 'filters/blacklists/lastnames_minus_fps.json', 'filters/regex_context/names_regex_context2.txt']|[]
uniq87|Valdez|NNP|4|['filters/regex/salutations/pre_salutations_3chars.txt', 'filters/blacklists/firstnames_minus_fps.json', 'filters/blacklists/lastnames_minus_fps.json']|[]
uniq88|curtailed|VBD|1|[]|[]
uniq89|owl|NN|1|[]|[]
uniq90|Holy|NNP|1|['filters/regex/addresses/in_city_transformed.txt', 'filters/blacklists/firstnames_minus_fps.json', 'filters/blacklists/lastnames_minus_fps.json']|[]
uniq91|Cross|NNP|1|['filters/regex/addresses/in_city_transformed.txt']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq92|11|CD|5|['filters/regex/dates/mm_dd_yy_transformed.txt', 'filters/regex/dates/mm_dd_transformed.txt', 'filters/regex/dates/mm_yy_transformed.txt']|['POS MATCHER']
uniq93|26|CD|1|['filters/regex/dates/mm_dd_yy_transformed.txt', 'filters/regex/dates/mm_dd_transformed.txt', 'filters/regex/dates/mm_yy_transformed.txt']|['POS MATCHER']
uniq94|05|CD|1|['filters/regex/dates/mm_dd_yy_transformed.txt']|['POS MATCHER']
uniq95|REM|NNP|2|['filters/blacklists/firstnames_minus_fps.json', 'filters/blacklists/lastnames_minus_fps.json']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq96|Nadir|NNP|1|['filters/blacklists/firstnames_minus_fps.json', 'filters/blacklists/lastnames_minus_fps.json']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq97|01|CD|8|['filters/regex/dates/mm_dd_yy_transformed.txt', 'filters/regex/dates/mm_dd_transformed.txt', 'filters/regex/dates/mm_yy_transformed.txt']|['POS MATCHER']
uniq98|15|CD|10|['filters/regex/dates/mm_dd_yy_transformed.txt', 'filters/regex/dates/mm_dd_transformed.txt', 'filters/regex/dates/mm_yy_transformed.txt']|['POS MATCHER']
uniq99|Tenacre|NNP|1|['filters/regex/addresses/hospital2.txt']|[]
uniq100|titrations|NNS|1|[]|[]
uniq101|Mallinckrodt|NNP|2|['filters/blacklists/lastnames_minus_fps.json']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq102|Breeze|NNP|2|['filters/blacklists/firstnames_minus_fps.json', 'filters/blacklists/lastnames_minus_fps.json']|[]
uniq103|2|CD|14|['filters/regex/dates/mm_dd_transformed.txt']|['POS MATCHER']
uniq104|4|CD|11|['filters/regex/dates/mm_dd_transformed.txt']|['POS MATCHER']
uniq105|Provigil|NNP|1|[]|[]
uniq106|Cardia|NNP|1|['filters/blacklists/firstnames_minus_fps.json', 'filters/blacklists/lastnames_minus_fps.json']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq107|146|CD|3|['filters/regex/dates/mm_yy_transformed.txt']|['POS MATCHER']
uniq108|88|CD|2|['filters/regex/dates/mm_yy_transformed.txt']|['POS MATCHER']
uniq109|arrousal|NN|1|[]|[]
uniq110|nonrestorative|JJ|2|[]|[]
uniq111|lightened|VBD|1|[]|[]
uniq112|1|CD|11|['filters/regex/dates/mm_dd_transformed.txt']|['POS MATCHER']
uniq113|psychotropics|NNS|1|[]|[]
uniq114|barbituate|NN|1|[]|[]
uniq115|nonpharmacologic|JJ|1|[]|[]
uniq116|Valdez|NNP|1|['filters/regex/salutations/pre_salutations_3chars.txt', 'filters/blacklists/firstnames_minus_fps.json', 'filters/blacklists/lastnames_minus_fps.json', 'filters/regex_context/names_regex_context3.txt']|[]
uniq117|Yovani|NNP|1|['filters/regex/salutations/post_salutations_3chars.txt', 'filters/regex/salutations/post_salutations_4chars.txt', 'filters/blacklists/firstnames_minus_fps.json']|[]
uniq118|Vergara|NNP|1|['filters/regex/salutations/post_salutations_3chars.txt', 'filters/regex/salutations/post_salutations_4chars.txt', 'filters/blacklists/lastnames_minus_fps.json', 'filters/regex_context/names_regex_context3.txt']|[]
uniq119|DD|NNP|1|['filters/regex/mrn_id/mixed002.txt', 'filters/regex_context/initials.txt']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq120|09|CD|2|['filters/regex/dates/mm_dd_yyyy_transformed.txt', 'filters/regex/dates/mm_dd_yy_transformed.txt', 'filters/regex/dates/mm_dd_transformed.txt', 'filters/regex/dates/mm_yy_transformed.txt', 'filters/regex/mrn_id/mixed002.txt']|['POS MATCHER']
uniq121|DT|NNP|5|['filters/regex/mrn_id/mixed002.txt', 'filters/regex_context/initials.txt']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq122|15|CD|1|['filters/regex/dates/mm_dd_yyyy_transformed.txt', 'filters/regex/dates/mm_dd_yy_transformed.txt', 'filters/regex/dates/mm_dd_transformed.txt', 'filters/regex/dates/mm_yy_transformed.txt']|['POS MATCHER']
uniq123|TX|NNP|1|['filters/regex/mrn_id/mixed002.txt', 'filters/regex_context/initials.txt']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq124|24217|CD|1|['filters/regex/mrn_id/DDDDDD+.txt', 'filters/regex/mrn_id/mixed002.txt', 'filters/regex/contact/pager.txt']|['POS MATCHER']
uniq125|JAR|NNP|3|['filters/blacklists/lastnames_minus_fps.json']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq126|10|CD|1|['filters/regex/dates/dd_mm_yy_transformed.txt', 'filters/regex/dates/yy_mm_dd_transformed.txt', 'filters/regex/dates/mm_dd_yy_transformed.txt', 'filters/regex/dates/dd_mm_transformed.txt', 'filters/regex/dates/mm_dd_transformed.txt']|['POS MATCHER']
uniq127|8|CD|1|['filters/regex/dates/dd_mm_yy_transformed.txt', 'filters/regex/dates/yy_mm_dd_transformed.txt', 'filters/regex/dates/mm_dd_yy_transformed.txt', 'filters/regex/dates/dd_mm_transformed.txt', 'filters/regex/dates/mm_dd_transformed.txt', 'filters/regex/dates/mm_yy_transformed.txt']|['POS MATCHER']
uniq128|11|CD|1|['filters/regex/dates/dd_mm_yy_transformed.txt', 'filters/regex/dates/yy_mm_dd_transformed.txt', 'filters/regex/dates/mm_dd_yy_transformed.txt', 'filters/regex/dates/mm_yy_transformed.txt']|['POS MATCHER']
uniq129|10|CD|14|['filters/regex/dates/dd_mm_yy_transformed.txt', 'filters/regex/dates/yy_mm_dd_transformed.txt', 'filters/regex/dates/mm_dd_yy_transformed.txt', 'filters/regex/dates/dd_mm_transformed.txt', 'filters/regex/dates/mm_dd_transformed.txt', 'filters/regex/dates/mm_yy_transformed.txt']|['POS MATCHER']
uniq130|11|CD|18|['filters/regex/dates/dd_mm_yy_transformed.txt', 'filters/regex/dates/yy_mm_dd_transformed.txt', 'filters/regex/dates/mm_dd_yy_transformed.txt']|['POS MATCHER']
uniq131|Valdez|NNP|1|['filters/regex/salutations/name_indicator.txt', 'filters/blacklists/firstnames_minus_fps.json', 'filters/blacklists/lastnames_minus_fps.json', 'filters/regex_context/names_regex_context1.txt']|[]
uniq132|Harlan|NNP|2|['filters/regex/salutations/name_indicator.txt', 'filters/blacklists/firstnames_minus_fps.json', 'filters/blacklists/lastnames_minus_fps.json']|[]
uniq133|Vicente|NNP|1|['filters/blacklists/firstnames_minus_fps.json', 'filters/blacklists/lastnames_minus_fps.json']|[]
uniq134|Barker|NNP|1|['filters/blacklists/firstnames_minus_fps.json', 'filters/blacklists/lastnames_minus_fps.json']|[]
uniq135|2|CD|1|['filters/regex/dates/mm_yyyy_transformed.txt', 'filters/regex/dates/mm_yy_transformed.txt']|['POS MATCHER']
uniq136|2107|CD|1|['filters/regex/dates/mm_yyyy_transformed.txt', 'filters/regex/dates/mm_yy_transformed.txt']|['POS MATCHER']
uniq137|puls|NN|1|[]|[]
uniq138|AF|NNP|1|['filters/regex/addresses/in_city_transformed.txt']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq139|POBA|NNP|2|[]|[]
uniq140|CCU|NNP|2|['filters/regex/organizations/admission_to_hospital_12chars.txt']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq141|AF|NNP|1|['filters/regex/addresses/in_city_transformed.txt', 'filters/regex/addresses/streetname_only_transformed.txt', 'filters/regex_context/initials.txt']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq142|with|IN|1|['filters/regex/addresses/streetname_only_transformed.txt']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq143|RVR|NNP|1|['filters/regex/addresses/streetname_only_transformed.txt']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq144|BB|NNP|13|['filters/blacklists/firstnames_minus_fps.json']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq145|hyperchol|NN|1|[]|[]
uniq146|sonata|VBD|2|[]|[]
uniq147|bloused|VBD|1|[]|[]
uniq148|NSR|NNP|1|['filters/regex/addresses/in_city_transformed.txt']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq149|Ramp|NNP|1|['filters/blacklists/lastnames_minus_fps.json']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq150|Pump|NNP|5|['filters/blacklists/lastnames_minus_fps.json']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq151|subthereapeutic|JJ|1|[]|[]
uniq152|RISS|NNP|7|['filters/blacklists/lastnames_minus_fps.json']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq153|CCU|NNP|1|['filters/regex/addresses/in_city_transformed.txt']|['filters/whitelists/whitelist_plus_fps_091718_nonames.json']
uniq154|Victor|NNP|1|['filters/regex/salutations/post_salutations_2chars.txt', 'filters/blacklists/firstnames_minus_fps.json', 'filters/blacklists/lastnames_minus_fps.json']|[]
uniq155|Shepard|NNP|1|['filters/regex/salutations/post_salutations_2chars.txt', 'filters/blacklists/firstnames_minus_fps.json', 'filters/blacklists/lastnames_minus_fps.json', 'filters/regex_context/names_regex_context3.txt']|[]
uniq156|39693|CD|1|['filters/regex/mrn_id/DDDDDD+.txt', 'filters/regex/contact/pager.txt']|['POS MATCHER']
uniq157|VALDEZ|NNP|1|['filters/regex/salutations/name_indicator.txt', 'filters/blacklists/firstnames_minus_fps.json', 'filters/blacklists/lastnames_minus_fps.json']|[]
